#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
38,Ninetales,Fire,,405,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Fairy,250,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Fairy,390,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,190,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,365,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,290,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,355,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,440,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,260,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,375,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,260,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,360,70,65,60,90,75,90,1,False
50,Diglett,Ground,,170,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,,285,35,80,50,50,70,120,1,False
52,Meowth,Normal,,200,40,45,35,40,40,90,1,False
53,Persian,Normal,,325,65,70,60,65,65,115,1,False
54,Psyduck,Water,,265,50,52,48,65,50,55,1,False
55,Golduck,Water,,415,80,82,78,95,80,85,1,False
56,Mankey,Fighting,,235,40,80,35,35,45,70,1,False
57,Primeape,Fighting,,360,65,105,60,60,70,95,1,False
58,Growlithe,Fire,,290,55,70,45,70,50,60,1,False
59,Arcanine,Fire,,460,90,110,80,100,80,95,1,False
60,Poliwag,Water,,210,40,50,40,40,40,90,1,False
61,Poliwhirl,Water,,295,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,440,90,95,95,70,90,70,1,False
63,Abra,Psychic,,220,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,,295,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,380,55,50,45,135,95,120,1,False
65,AlakazamMega Alakazam,Psychic,,440,55,50,65,175,95,150,1,False
66,Machop,Fighting,,270,70,80,50,35,35,35,1,False
67,Machoke,Fighting,,360,80,100,70,50,60,45,1,False
68,Machamp,Fighting,,450,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,260,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,335,65,90,50,85,45,55,1,False
71,Victreebel,Grass,Poison,420,80,105,65,100,70,70,1,False
72,Tentacool,Water,Poison,265,40,40,35,50,100,70,1,False
73,Tentacruel,Water,Poison,415,80,70,65,80,120,100,1,False
74,Geodude,Rock,Ground,280,40,80,100,30,30,20,1,False
75,Graveler,Rock,Ground,355,55,95,115,45,45,35,1,False
76,Golem,Rock,Ground,450,80,120,130,55,65,45,1,False
77,Ponyta,Fire,,320,50,85,55,65,65,90,1,False
78,Rapidash,Fire,,395,65,100,70,80,80,105,1,False
79,Slowpoke,Water,Psychic,300,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,460,95,75,110,100,80,30,1,False
80,SlowbroMega Slowbro,Water,Psychic,560,95,75,180,130,80,30,1,False
81,Magnemite,Electric,Steel,280,25,35,70,95,55,45,1,False
82,Magneton,Electric,Steel,395,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Flying,292,52,65,55,58,62,60,1,False
84,Doduo,Normal,Flying,235,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Flying,360,60,110,70,60,60,100,1,False
86,Seel,Water,,280,65,45,55,45,70,45,1,False
87,Dewgong,Water,Ice,405,90,70,80,70,95,70,1,False
88,Grimer,Poison,,300,80,80,50,40,50,25,1,False
89,Muk,Poison,,450,105,105,75,65,100,50,1,False
90,Shellder,Water,,265,30,65,100,45,25,40,1,False
91,Cloyster,Water,Ice,455,50,95,180,85,45,70,1,False
92,Gastly,Ghost,Poison,230,30,35,30,100,35,80,1,False
93,Haunter,Ghost,Poison,310,45,50,45,115,55,95,1,False
94,Gengar,Ghost,Poison,390,60,65,60,130,75,110,1,False
94,GengarMega Gengar,Ghost,Poison,470,60,65,80,170,95,130,1,False
95,Onix,Rock,Ground,315,35,45,160,30,45,70,1,False
96,Drowzee,Psychic,,286,60,48,45,43,90,42,1,False
97,Hypno,Psychic,,416,85,73,70,73,115,67,1,False
98,Krabby,Water,,275,30,105,90,25,25,50,1,False
99,Kingler,Water,,400,55,130,115,50,50,75,1,False
100,Voltorb,Electric,,230,40,30,50,55,55,100,1,False
101,Electrode,Electric,,340,60,50,70,80,80,140,1,False
102,Exeggcute,Grass,Psychic,285,60,40,80,60,45,40,1,False
103,Exeggutor,Grass,Psychic,465,95,95,85,125,65,55,1,False
104,Cubone,Ground,,285,50,50,95,40,50,35,1,False
105,Marowak,Ground,,380,60,80,110,50,80,45,1,False
106,Hitmonlee,Fighting,,368,50,120,53,35,110,87,1,False
107,Hitmonchan,Fighting,,379,50,105,79,35,110,76,1,False
108,Lickitung,Normal,,355,90,55,75,60,75,30,1,False
109,Koffing,Poison,,305,40,65,95,60,45,35,1,False
110,Weezing,Poison,,430,65,90,120,85,70,60,1,False
111,Rhyhorn,Ground,Rock,320,80,85,95,30,30,25,1,False
112,Rhydon,Ground,Rock,445,105,130,120,45,45,40,1,False
113,Chansey,Normal,,400,250,5,5,35,105,50,1,False
114,Tangela,Grass,,375,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,,400,105,95,80,40,80,90,1,False
115,KangaskhanMega Kangaskhan,Normal,,490,105,125,100,60,100,100,1,False
116,Horsea,Water,,235,30,40,70,70,25,60,1,False
117,Seadra,Water,,355,55,65,95,95,45,85,1,False
118,Goldeen,Water,,257,45,67,60,35,50,63,1,False
119,Seaking,Water,,382,80,92,65,65,80,68,1,False
120,Staryu,Water,,255,30,45,55,70,55,85,1,False
121,Starmie,Water,Psychic,405,60,75,85,100,85,115,1,False
122,Mr. Mime,Psychic,Fairy,370,40,45,65,100,120,90,1,False
123,Scyther,Bug,Flying,395,70,110,80,55,80,105,1,False
124,Jynx,Ice,Psychic,360,65,50,35,115,95,95,1,False
125,Electabuzz,Electric,,385,65,83,57,95,85,105,1,False
126,Magmar,Fire,,402,65,95,57,100,85,93,1,False
127,Pinsir,Bug,,415,65,125,100,55,70,85,1,False
127,PinsirMega Pinsir,Bug,Flying,495,65,155,120,65,90,105,1,False
128,Tauros,Normal,,380,75,100,95,40,70,110,1,False
129,Magikarp,Water,,120,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,459,95,125,79,60,100,81,1,False
130,GyaradosMega Gyarados,Water,Dark,559,95,155,109,70,130,81,1,False
131,Lapras,Water,Ice,475,130,85,80,85,95,60,1,False
132,Ditto,Normal,,240,48,48,48,48,48,48,1,False
133,Eevee,Normal,,270,55,55,50,45,65,55,1,False
134,Vaporeon,Water,,460,130,65,60,110,95,65,1,False
135,Jolteon,Electric,,395,65,65,60,110,95,130,1,False
136,Flareon,Fire,,460,65,130,60,95,110,65,1,False
137,Porygon,Normal,,355,65,60,70,85,75,40,1,False
138,Omanyte,Rock,Water,320,35,40,100,90,55,35,1,False
139,Omastar,Rock,Water,440,70,60,125,115,70,55,1,False
140,Kabuto,Rock,Water,300,30,80,90,55,45,55,1,False
141,Kabutops,Rock,Water,415,60,115,105,65,70,80,1,False
142,Aerodactyl,Rock,Flying,385,80,105,65,60,75,130,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,465,80,135,85,70,95,150,1,False
143,Snorlax,Normal,,510,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,495,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,480,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,490,90,100,90,125,85,90,1,True
147,Dratini,Dragon,,250,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,,350,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Flying,520,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,550,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,650,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,640,106,150,70,194,120,140,1,True
151,Mew,Psychic,,500,100,100,100,100,100,100,1,False
152,Chikorita,Grass,,273,45,49,65,49,65,45,2,False
153,Bayleef,Grass,,345,60,62,80,63,80,60,2,False
154,Meganium,Grass,,445,80,82,100,83,100,80,2,False
155,Cyndaquil,Fire,,244,39,52,43,60,50,65,2,False
156,Quilava,Fire,,325,58,64,58,80,65,80,2,False
157,Typhlosion,Fire,,434,78,84,78,109,85,100,2,False
158,Totodile,Water,,271,50,65,64,44,48,43,2,False
159,Croconaw,Water,,347,65,80,80,59,63,58,2,False
160,Feraligatr,Water,,452,85,105,100,79,83,78,2,False
161,Sentret,Normal,,195,35,46,34,35,45,20,2,False
162,Furret,Normal,,325,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Flying,212,60,30,30,36,56,50,2,False
164,Noctowl,Normal,Flying,372,100,50,50,76,96,70,2,False
165,Ledyba,Bug,Flying,210,40,20,30,40,80,55,2,False
166,Ledian,Bug,Flying,305,55,35,50,55,110,85,2,False
167,Spinarak,Bug,Poison,220,40,60,40,40,40,30,2,False
168,Ariados,Bug,Poison,350,70,90,70,60,60,40,2,False
169,Crobat,Poison,Flying,405,85,90,80,70,80,130,2,False
170,Chinchou,Water,Electric,263,75,38,38,56,56,67,2,False
171,Lanturn,Water,Electric,393,125,58,58,76,76,67,2,False
172,Pichu,Electric,,145,20,40,15,35,35,60,2,False
173,Cleffa,Fairy,,203,50,25,28,45,55,15,2,False
174,Igglybuff,Normal,Fairy,195,90,30,15,40,20,15,2,False
175,Togepi,Fairy,,225,35,20,65,40,65,20,2,False
176,Togetic,Fairy,Flying,365,55,40,85,80,105,40,2,False
177,Natu,Psychic,Flying,250,40,50,45,70,45,70,2,False
178,Xatu,Psychic,Flying,375,65,75,70,95,70,95,2,False
179,Mareep,Electric,,245,55,40,40,65,45,35,2,False
180,Flaaffy,Electric,,320,70,55,55,80,60,45,2,False
181,Ampharos,Electric,,455,90,75,85,115,90,55,2,False
181,AmpharosMega Ampharos,Electric,Dragon,565,90,95,105,165,110,45,2,False
182,Bellossom,Grass,,440,75,80,95,90,100,50,2,False
183,Marill,Water,Fairy,210,70,20,50,20,50,40,2,False
184,Azumarill,Water,Fairy,370,100,50,80,60,80,50,2,False
185,Sudowoodo,Rock,,380,70,100,115,30,65,30,2,False
186,Politoed,Water,,430,90,75,75,90,100,70,2,False
187,Hoppip,Grass,Flying,200,35,35,40,35,55,50,2,False
188,Skiploom,Grass,Flying,260,55,45,50,45,65,80,2,False
189,Jumpluff,Grass,Flying,350,75,55,70,55,95,110,2,False
190,Aipom,Normal,,275,55,70,55,40,55,85,2,False
191,Sunkern,Grass,,150,30,30,30,30,30,30,2,False
192,Sunflora,Grass,,395,75,75,55,105,85,30,2,False
193,Yanma,Bug,Flying,295,65,65,45,75,45,95,2,False
194,Wooper,Water,Ground,195,55,45,45,25,25,15,2,False
195,Quagsire,Water,Ground,395,95,85,85,65,65,35,2,False
196,Espeon,Psychic,,415,65,65,60,130,95,110,2,False
197,Umbreon,Dark,,460,95,65,110,60,130,65,2,False
198,Murkrow,Dark,Flying,314,60,85,42,85,42,91,2,False
199,Slowking,Water,Psychic,460,95,75,80,100,110,30,2,False
200,Misdreavus,Ghost,,350,60,60,60,85,85,85,2,False
201,Unown,Psychic,,288,48,72,48,72,48,48,2,False
202,Wobbuffet,Psychic,,372,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psychic,370,70,80,65,90,65,85,2,False
204,Pineco,Bug,,275,50,65,90,35,35,15,2,False
205,Forretress,Bug,Steel,425,75,90,140,60,60,40,2,False
206,Dunsparce,Normal,,370,100,70,70,65,65,45,2,False
207,Gligar,Ground,Flying,345,65,75,105,35,65,85,2,False
208,Steelix,Steel,Ground,480,75,85,200,55,65,30,2,False
208,SteelixMega Steelix,Steel,Ground,580,75,125,230,55,95,30,2,False
209,Snubbull,Fairy,,270,60,80,50,40,40,30,2,False
210,Granbull,Fairy,,405,90,120,75,60,60,45,2,False
211,Qwilfish,Water,Poison,345,65,95,75,55,55,85,2,False
212,Scizor,Bug,Steel,435,70,130,100,55,80,65,2,False
212,ScizorMega Scizor,Bug,Steel,525,70,150,140,65,100,75,2,False
213,Shuckle,Bug,Rock,500,20,10,230,10,230,5,2,False
214,Heracross,Bug,Fighting,415,80,125,75,40,95,85,2,False
214,HeracrossMega Heracross,Bug,Fighting,525,80,185,115,40,105,75,2,False
215,Sneasel,Dark,Ice,315,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,,290,60,80,50,50,50,40,2,False
217,Ursaring,Normal,,445,90,130,75,75,75,55,2,False
218,Slugma,Fire,,230,40,40,40,70,40,20,2,False
219,Magcargo,Fire,Rock,380,50,50,120,80,80,30,2,False
220,Swinub,Ice,Ground,200,50,50,40,30,30,50,2,False
221,Piloswine,Ice,Ground,400,100,100,80,60,60,50,2,False
222,Corsola,Water,Rock,345,55,55,85,65,85,35,2,False
223,Remoraid,Water,,235,35,65,35,65,35,65,2,False
224,Octillery,Water,,435,75,105,75,105,75,45,2,False
225,Delibird,Ice,Flying,255,45,55,45,65,45,75,2,False
226,Mantine,Water,Flying,395,65,40,70,80,140,70,2,False
227,Skarmory,Steel,Flying,395,65,80,140,40,70,70,2,False
228,Houndour,Dark,Fire,265,45,60,30,80,50,65,2,False
229,Houndoom,Dark,Fire,405,75,90,50,110,80,95,2,False
229,HoundoomMega Houndoom,Dark,Fire,485,75,90,90,140,90,115,2,False
230,Kingdra,Water,Dragon,455,75,95,95,95,95,85,2,False
231,Phanpy,Ground,,290,90,60,60,40,40,40,2,False
232,Donphan,Ground,,450,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,455,85,80,90,105,95,60,2,False
234,Stantler,Normal,,380,73,95,62,85,65,85,2,False
235,Smeargle,Normal,,175,55,20,35,20,45,75,2,False
236,Tyrogue,Fighting,,175,35,35,35,35,35,35,2,False
237,Hitmontop,Fighting,,385,50,95,95,35,110,70,2,False
238,Smoochum,Ice,Psychic,240,45,30,15,85,65,65,2,False
239,Elekid,Electric,,265,45,63,37,65,55,95,2,False
240,Magby,Fire,,282,45,75,37,70,55,83,2,False
241,Miltank,Normal,,390,95,80,105,40,70,100,2,False
242,Blissey,Normal,,485,255,10,10,75,135,55,2,False
243,Raikou,Electric,,465,90,85,75,115,100,115,2,True
244,Entei,Fire,,480,115,115,85,90,75,100,2,True
245,Suicune,Water,,495,100,75,115,90,115,85,2,True
246,Larvitar,Rock,Ground,259,50,64,50,45,50,41,2,False
247,Pupitar,Rock,Ground,359,70,84,70,65,70,51,2,False
248,Tyranitar,Rock,Dark,539,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Rock,Dark,629,100,164,150,95,120,71,2,False
249,Lugia,Psychic,Flying,570,106,90,130,90,154,110,2,True
250,Ho-oh,Fire,Flying,590,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,500,100,100,100,100,100,100,2,False
252,Treecko,Grass,,240,40,45,35,65,55,70,3,False
253,Grovyle,Grass,,310,50,65,45,85,65,95,3,False
254,Sceptile,Grass,,410,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,Grass,Dragon,485,70,110,75,145,85,145,3,False
255,Torchic,Fire,,265,45,60,40,70,50,45,3,False
256,Combusken,Fire,Fighting,350,60,85,60,85,60,55,3,False
257,Blaziken,Fire,Fighting,450,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,Fire,Fighting,530,80,160,80,130,80,100,3,False
258,Mudkip,Water,,270,50,70,50,50,50,40,3,False
259,Marshtomp,Water,Ground,355,70,85,70,60,70,50,3,False
260,Swampert,Water,Ground,475,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Water,Ground,565,100,150,110,95,110,70,3,False
261,Poochyena,Dark,,185,35,55,35,30,30,35,3,False
262,Mightyena,Dark,,350,70,90,70,60,60,70,3,False
263,Zigzagoon,Normal,,180,38,30,41,30,41,60,3,False
264,Linoone,Normal,,320,78,70,61,50,61,100,3,False
265,Wurmple,Bug,,175,45,45,35,20,30,20,3,False
266,Silcoon,Bug,,190,50,35,55,25,25,15,3,False
267,Beautifly,Bug,Flying,330,60,70,50,100,50,65,3,False
268,Cascoon,Bug,,190,50,35,55,25,25,15,3,False
269,Dustox,Bug,Poison,320,60,50,70,50,90,65,3,False
270,Lotad,Water,Grass,190,40,30,30,40,50,30,3,False
271,Lombre,Water,Grass,290,60,50,50,60,70,50,3,False
272,Ludicolo,Water,Grass,410,80,70,70,90,100,70,3,False
273,Seedot,Grass,,190,40,40,50,30,30,30,3,False
274,Nuzleaf,Grass,Dark,280,70,70,40,60,40,60,3,False
275,Shiftry,Grass,Dark,400,90,100,60,90,60,80,3,False
276,Taillow,Normal,Flying,185,40,55,30,30,30,85,3,False
277,Swellow,Normal,Flying,305,60,85,60,50,50,125,3,False
278,Wingull,Water,Flying,185,40,30,30,55,30,85,3,False
279,Pelipper,Water,Flying,365,60,50,100,85,70,65,3,False
280,Ralts,Psychic,Fairy,158,28,25,25,45,35,40,3,False
281,Kirlia,Psychic,Fairy,228,38,35,35,65,55,50,3,False
282,Gardevoir,Psychic,Fairy,438,68,65,65,125,115,80,3,False
282,GardevoirMega Gardevoir,Psychic,Fairy,518,68,85,65,165,135,100,3,False
283,Surskit,Bug,Water,204,40,30,32,50,52,65,3,False
284,Masquerain,Bug,Flying,354,70,60,62,80,82,60,3,False
285,Shroomish,Grass,,260,60,40,60,40,60,35,3,False
286,Breloom,Grass,Fighting,390,60,130,80,60,60,70,3,False
287,Slakoth,Normal,,250,60,60,60,35,35,30,3,False
288,Vigoroth,Normal,,350,80,80,80,55,55,90,3,False
289,Slaking,Normal,,570,150,160,100,95,65,100,3,False
290,Nincada,Bug,Ground,226,31,45,90,30,30,40,3,False
291,Ninjask,Bug,Flying,296,61,90,45,50,50,160,3,False
292,Shedinja,Bug,Ghost,196,1,90,45,30,30,40,3,False
293,Whismur,Normal,,212,64,51,23,51,23,28,3,False
294,Loudred,Normal,,312,84,71,43,71,43,48,3,False
295,Exploud,Normal,,422,104,91,63,91,73,68,3,False
296,Makuhita,Fighting,,212,72,60,30,20,30,25,3,False
297,Hariyama,Fighting,,424,144,120,60,40,60,50,3,False
298,Azurill,Normal,Fairy,170,50,20,40,20,40,20,3,False
299,Nosepass,Rock,,345,30,45,135,45,90,30,3,False
300,Skitty,Normal,,210,50,45,45,35,35,50,3,False
301,Delcatty,Normal,,310,70,65,65,55,55,70,3,False
302,Sableye,Dark,Ghost,330,50,75,75,65,65,50,3,False
302,SableyeMega Sableye,Dark,Ghost,460,50,85,125,85,115,20,3,False
303,Mawile,Steel,Fairy,330,50,85,85,55,55,50,3,False
303,MawileMega Mawile,Steel,Fairy,430,50,105,125,55,95,50,3,False
304,Aron,Steel,Rock,300,50,70,100,40,40,30,3,False
305,Lairon,Steel,Rock,390,60,90,140,50,50,40,3,False
306,Aggron,Steel,Rock,480,70,110,180,60,60,50,3,False
306,AggronMega Aggron,Steel,,580,70,140,230,60,80,50,3,False
307,Meditite,Fighting,Psychic,220,30,40,55,40,55,60,3,False
308,Medicham,Fighting,Psychic,330,60,60,75,60,75,80,3,False
308,MedichamMega Medicham,Fighting,Psychic,410,60,100,85,80,85,100,3,False
309,Electrike,Electric,,230,40,45,40,65,40,65,3,False
310,Manectric,Electric,,370,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,Electric,,440,70,75,80,135,80,135,3,False
311,Plusle,Electric,,310,60,50,40,85,75,95,3,False
312,Minun,Electric,,310,60,40,50,75,85,95,3,False
313,Volbeat,Bug,,315,65,73,55,47,75,85,3,False
314,Illumise,Bug,,315,65,47,55,73,75,85,3,False
315,Roselia,Grass,Poison,335,50,60,45,100,80,65,3,False
316,Gulpin,Poison,,262,70,43,53,43,53,40,3,False
317,Swalot,Poison,,412,100,73,83,73,83,55,3,False
318,Carvanha,Water,Dark,240,45,90,20,65,20,65,3,False
319,Sharpedo,Water,Dark,365,70,120,40,95,40,95,3,False
319,SharpedoMega Sharpedo,Water,Dark,455,70,140,70,110,65,105,3,False
320,Wailmer,Water,,340,130,70,35,70,35,60,3,False
321,Wailord,Water,,440,170,90,45,90,45,60,3,False
322,Numel,Fire,Ground,270,60,60,40,65,45,35,3,False
323,Camerupt,Fire,Ground,420,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,Fire,Ground,540,70,120,100,145,105,20,3,False
324,Torkoal,Fire,,450,70,85,140,85,70,20,3,False
325,Spoink,Psychic,,270,60,25,35,70,80,60,3,False
326,Grumpig,Psychic,,390,80,45,65,90,110,80,3,False
327,Spinda,Normal,,300,60,60,60,60,60,60,3,False
328,Trapinch,Ground,,280,45,100,45,45,45,10,3,False
329,Vibrava,Ground,Dragon,270,50,70,50,50,50,70,3,False
330,Flygon,Ground,Dragon,420,80,100,80,80,80,100,3,False
331,Cacnea,Grass,,300,50,85,40,85,40,35,3,False
332,Cacturne,Grass,Dark,420,70,115,60,115,60,55,3,False
333,Swablu,Normal,Flying,260,45,40,60,40,75,50,3,False
334,Altaria,Dragon,Flying,410,75,70,90,70,105,80,3,False
334,AltariaMega Altaria,Dragon,Fairy,510,75,110,110,110,105,80,3,False
335,Zangoose,Normal,,368,73,115,60,60,60,90,3,False
336,Seviper,Poison,,393,73,100,60,100,60,65,3,False
337,Lunatone,Rock,Psychic,370,70,55,65,95,85,70,3,False
338,Solrock,Rock,Psychic,370,70,95,85,55,65,70,3,False
339,Barboach,Water,Ground,228,50,48,43,46,41,60,3,False
340,Whiscash,Water,Ground,408,110,78,73,76,71,60,3,False
341,Corphish,Water,,273,43,80,65,50,35,35,3,False
342,Crawdaunt,Water,Dark,413,63,120,85,90,55,55,3,False
343,Baltoy,Ground,Psychic,245,40,40,55,40,70,55,3,False
344,Claydol,Ground,Psychic,425,60,70,105,70,120,75,3,False
345,Lileep,Rock,Grass,332,66,41,77,61,87,23,3,False
346,Cradily,Rock,Grass,452,86,81,97,81,107,43,3,False
347,Anorith,Rock,Bug,280,45,95,50,40,50,75,3,False
348,Armaldo,Rock,Bug,450,75,125,100,70,80,45,3,False
349,Feebas,Water,,120,20,15,20,10,55,80,3,False
350,Milotic,Water,,459,95,60,79,100,125,81,3,False
351,Castform,Normal,,350,70,70,70,70,70,70,3,False
352,Kecleon,Normal,,400,60,90,70,60,120,40,3,False
353,Shuppet,Ghost,,250,44,75,35,63,33,45,3,False
354,Banette,Ghost,,390,64,115,65,83,63,65,3,False
354,BanetteMega Banette,Ghost,,480,64,165,75,93,83,75,3,False
355,Duskull,Ghost,,270,20,40,90,30,90,25,3,False
356,Dusclops,Ghost,,430,40,70,130,60,130,25,3,False
357,Tropius,Grass,Flying,409,99,68,83,72,87,51,3,False
358,Chimecho,Psychic,,360,65,50,70,95,80,65,3,False
359,Absol,Dark,,390,65,130,60,75,60,75,3,False
359,AbsolMega Absol,Dark,,450,65,150,60,115,60,115,3,False
360,Wynaut,Psychic,,237,95,23,48,23,48,23,3,False
361,Snorunt,Ice,,250,50,50,50,50,50,50,3,False
362,Glalie,Ice,,400,80,80,80,80,80,80,3,False
362,GlalieMega Glalie,Ice,,480,80,120,80,120,80,100,3,False
363,Spheal,Ice,Water,265,70,40,50,55,50,25,3,False
364,Sealeo,Ice,Water,365,90,60,70,75,70,45,3,False
365,Walrein,Ice,Water,465,110,80,90,95,90,65,3,False
366,Clamperl,Water,,313,35,64,85,74,55,32,3,False
367,Huntail,Water,,433,55,104,105,94,75,52,3,False
368,Gorebyss,Water,,433,55,84,105,114,75,52,3,False
369,Relicanth,Water,Rock,430,100,90,130,45,65,55,3,False
370,Luvdisc,Water,,233,43,30,55,40,65,97,3,False
371,Bagon,Dragon,,250,45,75,60,40,30,50,3,False
372,Shelgon,Dragon,,370,65,95,100,60,50,50,3,False
373,Salamence,Dragon,Flying,500,95,135,80,110,80,100,3,False
373,SalamenceMega Salamence,Dragon,Flying,580,95,145,130,120,90,120,3,False
374,Beldum,Steel,Psychic,270,40,55,80,35,60,30,3,False
375,Metang,Steel,Psychic,370,60,75,100,55,80,50,3,False
376,Metagross,Steel,Psychic,530,80,135,130,95,90,70,3,False
376,MetagrossMega Metagross,Steel,Psychic,590,80,145,150,105,110,110,3,False
377,Regirock,Rock,,530,80,100,200,50,100,50,3,True
378,Regice,Ice,,530,80,50,100,100,200,50,3,True
379,Registeel,Steel,,530,80,75,150,75,150,50,3,True
380,Latias,Dragon,Psychic,490,80,80,90,110,130,110,3,True
380,LatiasMega Latias,Dragon,Psychic,590,80,100,120,140,150,110,3,True
381,Latios,Dragon,Psychic,490,80,90,80,130,110,110,3,True
381,LatiosMega Latios,Dragon,Psychic,590,80,130,100,160,120,110,3,True
382,Kyogre,Water,,580,100,100,90,150,140,90,3,True
